headline,date,snippet,url
GE Capital’s Australian Units Said to Be Receiving Final Bids From 3,2015-09-02T00:00,"The businesses, which are being sold as General Electric moves away from banking, have a book value of about $1.8 billion....",https://www.nytimes.com/2015/09/02/business/dealbook/ge-capital-buyers-narrowed-to-sankaty-lone-star-hna.html
G.E. Gets European Regulators’ Approval to Buy Alstom Power Unit,2015-09-09T00:00,"After months of negotiations to allay European Union competition concerns, General Electric will now be able to acquire the prized French energy business....",https://www.nytimes.com/2015/09/09/business/international/ge-alstom-deal-europe-regulators.html
"G.O.P. Discord Over Ex-Im Bank Intensifies, as G.E. Shifts Jobs Abroad",2015-09-16T00:00,"General Electric and Boeing blamed a halt in export credit for job transfers and a loss of contracts, reigniting Republican infighting over the fate of the Ex-Im Bank....",https://www.nytimes.com/2015/09/16/business/economy/export-import-bank-general-electric-boeing.html
Nelson Peltz’s Trian Takes Big Stake in General Electric,2015-10-06T00:00,The activist investor may seek to push conglomerate to return capital to shareholders through stock buybacks....,https://www.nytimes.com/2015/10/06/business/dealbook/nelson-peltzs-trian-takes-big-stake-in-general-electric.html
Wall St. Nudges Upward After Solid Earnings Reports,2015-10-17T00:00,General Electric stock rose after the company reported earnings that were better than analysts were expecting....,https://www.nytimes.com/2015/10/17/business/daily-stock-market-activity.html
General Electric to Sell Units to Crédit Mutuel of France,2015-12-04T00:00,The deal represents the latest move in G.E.’s effort to retreat from banking and refocus on its industrial roots....,https://www.nytimes.com/2015/12/04/business/ge-finance-credit-mutuel.html
General Electric Calls Off Sale of Appliance Unit to Electrolux,2015-12-08T00:00,"The Justice Department had sued in July to stop the deal, saying the transaction would reduce competition and increase prices....",https://www.nytimes.com/2015/12/08/business/dealbook/ge-electrolux-appliances.html
General Electric to Sell Commercial Lending Business in Japan,2015-12-16T00:00,The company continued its retreat from its financial businesses by agreeing to sell the unit to Sumitomo Mitsui Finance and Leasing for about $4.8 billion....,https://www.nytimes.com/2015/12/16/business/dealbook/general-electric-to-sell-commercial-lending-business-in-japan.html
G.E. Expects Growth in Its Earnings in an Uncertain 2016,2015-12-17T00:00,"General Electric expects the next year to be one of economic uncertainty and geopolitical turmoil. For itself, however, it expects double-digit growth....",https://www.nytimes.com/2015/12/17/business/ge-expects-growth-in-its-earnings-in-an-uncertain-2016.html
"Global Brands, Taking Cue From Tinkerers, Explore Crowdfunding",2016-01-07T00:00,"As companies like General Electric and Hasbro experiment with seeking ideas and funding from the masses, Indiegogo has started offering them consulting services....",https://www.nytimes.com/2016/01/07/business/global-brands-taking-cue-from-tinkerers-explore-crowdfunding.html
State Street to Buy G.E.’s Asset Management Business,2016-03-31T00:00,The deal is the latest sale as General Electric retreats from finance and refocuses on its industrial roots....,https://www.nytimes.com/2016/03/31/business/dealbook/state-street-to-buy-ges-asset-management-business.html
G.E. Asks for Removal of ‘Too Big to Fail’ Label From GE Capital,2016-04-01T00:00,"After MetLife won its case, General Electric told regulators its finance unit no longer met the definition of “systemically important.”...",https://www.nytimes.com/2016/04/01/business/dealbook/ge-asks-for-removal-of-too-big-to-fail-label-from-ge-capital.html
I.P.O. Could Value GE Capital’s Czech Business at $1.6 Billion,2016-04-26T00:00,GE Money Bank’s initial public offering would continue General Electric’s efforts to scale back on finance and focus on its industrial roots....,https://www.nytimes.com/2016/04/26/business/dealbook/ge-money-bank-ipo.html
Beth Comstock of General Electric: Granting Permission to Innovate,2016-06-19T00:00,"To Ms. Comstock, vice chairwoman of G.E., leadership is about understanding that things will never be perfectly balanced, and using that tension to move forward....",https://www.nytimes.com/2016/06/19/business/granting-permission-to-try-something-new.html
Cerberus Offers to Buy G.E.’s French Consumer Finance Business,2016-06-24T00:00,The sale of GE Money Bank in France would be the latest exit in General Electric’s retreat from finance as it focuses on its industrial roots....,https://www.nytimes.com/2016/06/24/business/dealbook/cerberus-offers-to-buy-ges-french-consumer-finance-business.html
General Electric Wins O.K. to Shed ‘Too Big to Fail’ Label,2016-06-30T00:00,The announcement comes after an aggressive campaign by General Electric to sell off billions of dollars worth of assets in its GE Capital division....,https://www.nytimes.com/2016/06/30/business/dealbook/general-electric-wins-ok-to-shed-too-big-to-fail-label.html
"Stanley Gault, Who Led Rubbermaid and Goodyear, Dies at 90",2016-07-07T00:27,"After a long career at General Electric, Stanley C. Gault led turnarounds at Rubbermaid and Goodyear....",https://www.nytimes.com/2016/07/07/business/stanley-gault-who-led-rubbermaid-and-goodyear-dies-at-90.html
Why Corporate America Is Leaving the Suburbs for the City,2016-08-02T00:00,"Companies including McDonald’s and General Electric are moving headquarters to cities like Boston and Chicago, partly as a lure to younger employees....",https://www.nytimes.com/2016/08/02/business/economy/why-corporate-america-is-leaving-the-suburbs-for-the-city.html
Morning Agenda: Silicon Valley Heeds Warnings of Apocalypse,2016-08-29T04:00,"Start-ups survive predictions of doom and gloom, General Electric is taking a run at making software, and an interest rate increase may be on the horizon....",https://www.nytimes.com/2016/08/29/business/dealbook/silicon-valley-ge-federal-reserve.html
Wall St. Ends Slightly Lower as Merger Talk Heats Up,2016-10-21T14:07,General Electric stock dropped after a quarterly report that was lower than expected because of weaker results from lighting and transportation businesses....,https://www.nytimes.com/2016/10/22/business/stock-markets.html
Baker Hughes Could Be a Good Fit for General Electric,2016-10-28T18:21,"G.E. has sold off $200 billion of financial assets since the financial crisis, but it is now prepared for an offensive....",https://www.nytimes.com/2016/10/29/business/dealbook/baker-hughes-could-be-a-good-fit-for-general-electric.html
General Electric’s Baker Hughes Deal Sets Precedent for Others,2016-10-31T20:09,What could set this transaction apart is G.E.’s implicit recognition that the sum of its many parts may be more valuable than the whole....,https://www.nytimes.com/2016/11/01/business/dealbook/general-electrics-baker-hughes-deal-sets-precedent-for-others.html
Wall St. Closes Slightly Lower,2016-10-31T13:53,There was little change despite weekend merger news including the announcement that Baker Hughes and General Electric would unite their oil and gas divisions....,https://www.nytimes.com/2016/11/01/business/stock-markets.html
General Electric Plans to Merge Its Oil and Gas Division With Baker Hughes,2016-10-31T11:55,"The deal would give G.E. a big stake in the oil business, and give Baker Hughes shareholders stock in a larger, healthier company and a dividend....",https://www.nytimes.com/2016/11/01/business/dealbook/general-electric-baker-hughes-oil-energy.html
Suez and Canadian Fund Manager to Buy General Electric Unit,2017-03-08T19:18,"The deal to buy G.E.’s water treatment technology business would expand the French water and waste company’s global reach, particularly in the United States....",https://www.nytimes.com/2017/03/08/business/dealbook/suez-canada-ge-water.html
"U.S. Firms Want In on China’s Global ‘One Belt, One Road’ Spending",2017-05-14T16:37,"General Electric, Citibank and Honeywell are among companies angling for potentially big business, but foreign firms must contend with Chinese rivals....",https://www.nytimes.com/2017/05/14/business/china-one-belt-one-road-us-companies.html
"With C.E.O. Change, G.E. Will Seek Out More Growth Overseas",2017-06-12T18:04,"John Flannery, the new chief executive of General Electric, has spent much of his career focused on expanding business outside the United States....",https://www.nytimes.com/2017/06/12/business/dealbook/ge-ceo-flannery-immelt.html
A Stagnant General Electric Will Replace the C.E.O. Who Transformed It,2017-06-12T11:29,"The industrial giant, whose jet engines propel air travelers and whose generators light millions of households, declared that it would be installing its first new leader in 16 years....",https://www.nytimes.com/2017/06/12/business/ge-immelt.html
"The G.E. Puzzle, and the Pieces a New Chief Will Have to Make Fit",2017-06-14T00:59,"John Flannery, named to lead General Electric, is reviewing its portfolio of businesses — some of them core properties, others prospectively for sale....",https://www.nytimes.com/2017/06/13/business/ge-breakup-flannery.html
G.E.’s History of Innovation,2017-06-13T03:09,"Originally called Edison General Electric, the company mirrored the growth of industrial America from the steam age to the age of electricity and beyond....",https://www.nytimes.com/2017/06/12/business/general-electric-history-of-innovation.html
Swiss Firm ABB to Buy G.E.’s Industrial Solutions Business for $2.6 Billion,2017-09-25T08:30,The deal comes as new General Electric chief executive John L. Flannery conducts a review of each of its businesses.,https://www.nytimes.com/2017/09/25/business/dealbook/general-electric-abb.html
The Dow Jones Without G.E.? It’s Possible,2017-10-23T20:04,"With sinking quarterly earnings and rising pressure on its stock, General Electric, the last surviving original member of the Dow, risks being pushed out.",https://www.nytimes.com/2017/10/23/business/dealbook/the-dow-jones-without-ge-its-possible.html
