headline,date,snippet,url
Polypore Sells Industrial Businesses,2015-02-24T00:00,Asahi Kasei will buy the battery business and 3M will purchase the filtration operation in a deal with a $3.2 billion enterprise value....,https://www.nytimes.com/2015/02/24/business/dealbook/polypore-sells-industrial-businesses.html
3M Moves Toward Using Sustainably Logged Timber,2015-03-06T00:00,"The company will now require some 5,000 direct suppliers in more than 70 countries to provide data, including the source of their harvested wood fiber....",https://www.nytimes.com/2015/03/06/business/3m-moves-toward-using-sustainably-logged-timber.html
Survey Says Companies Not Meeting Minerals Rule ,2015-04-23T00:00,"The report by Amnesty International and Global Witness did not identify the companies fell short, but gave credit to those it said did meet the standards, among them 3M, Tiffany, General Electric, Tesla and Hewlett-Packard....",https://www.nytimes.com/2015/04/23/business/energy-environment/survey-says-companies-not-meeting-minerals-rule.html
Market Extends a Losing Streak as Earnings Roll In,2015-07-24T00:00,"Stocks moved lower in afternoon trading after disappointing earnings from several big companies, including American Express, Caterpillar and 3M....",https://www.nytimes.com/2015/07/24/business/daily-stock-market-activity.html
"Sara Little, Peripatetic Product Designer, Dies at 97",2015-09-10T00:00,"Ms. Little, who consulted for three decades for companies like 3M, General Mills and Coca-Cola, took inspiration from sources as varied as geishas, burglars and cheetahs....",https://www.nytimes.com/2015/09/08/business/sara-little-turnbull-product-designer-inspired-by-anthropology-and-nature-dies-at-97.html
