headline,date,snippet,url
Microsoft Earnings Illustrate Move to Devices and Services From Software,2014-01-24T00:00,"The company said its second-quarter profit rose 3 percent, ahead of analysts’ forecasts, with strong sales of its Xbox consoles and Surface tablets....",https://www.nytimes.com/2014/01/24/technology/holiday-sales-help-push-profit-up-at-microsoft.html
Chip Profits Help Soften Other Losses at Samsung,2014-01-25T00:00,"A slide in smartphone sales was partly offset by the company’s hold on vital handset components, which are often sold to Apple and other competitors....",https://www.nytimes.com/2014/01/25/technology/chip-figures-take-sting-out-of-declining-sales-at-samsung.html
"Paid Notice: Deaths  BROKAW, HOWARD PYLE",2014-01-26T00:00,"BROKAW--Howard Pyle, 97, died on December 20, 2013. Brokaw lived an active, dedicated life of two careers, first with E.I. DuPont de Nemours Co., of Wilmington, Delaware, and then in conservation - of nature and of his grandfather, Howard Pyle's, ...",https://query.nytimes.com/gst/fullpage.html?res=9407E1DA173AF935A15752C0A9629D8B63
Caterpillar Earnings Reflect Economic Uptick,2014-01-28T00:00,Caterpillar posted a stronger-than-expected quarterly profit on Monday as cost cuts and an uptick in demand for its building equipment offset continued weak sales to the mining industry....,https://www.nytimes.com/2014/01/28/business/caterpillar-earnings-reflect-economic-uptick.html
"Profit at Pfizer Plummets, but It Beats Expectations",2014-01-29T00:00,Generic competition and a revamping contributed to a 59 percent drop in the giant’s drug maker’s net income in the fourth quarter....,https://www.nytimes.com/2014/01/29/business/profit-at-pfizer-plummets-but-it-beats-expectations.html
Boeing Shares Fall as It Cautions on Its Profits in 2014,2014-01-30T00:00,The plane maker&#8217;s stock dropped 5.3 percent on Wednesday following projections that its revenue would increase less than expected in 2014....,https://www.nytimes.com/2014/01/30/business/boeing-shares-fall-as-it-cautions-on-its-profits-in-2014.html
Anything but Uniform,2014-01-30T00:00,"The Seahawks and the Broncos are carrying the flag for Nike in the Super Bowl. Here, Marshawn Lynch in a Seahawks uniform designed by Nike....",https://www.nytimes.com/2014/01/30/fashion/Nike-NFL-Super-Bowl-uniforms-seahawks-broncos-nike.html
Another Option for an Upgrade From Windows XP,2014-01-31T00:00,"Plus, working with multiple Apple ID accounts....",https://www.nytimes.com/2014/01/31/technology/personaltech/another-option-for-an-upgrade-from-windows-xp.html
"In Motorola Purchase, Lenovo Gains Big Footprint in Smartphones",2014-01-31T00:00,"The Chinese PC giant’s purchase of Motorola Mobility from Google has vaulted it into the field’s top three, though it has a long way to go to catch Apple or Samsung....",https://www.nytimes.com/2014/01/31/business/international/lenovo-gains-a-big-footprint-in-the-market-for-smartphones.html
Microsoft Said to Be Close to Naming a New Chief,2014-02-01T00:00,"Satya Nadella, a 22-year Microsoft employee, has been in charge of its cloud computing business; a change in Bill Gates&#8217;s role is also under discussion....",https://www.nytimes.com/2014/02/01/technology/microsoft-said-to-be-close-to-naming-satya-nadella-as-chief.html
