20140106†7:00AM UTC,Robert Parker & American Express International to Host Inaugural Wine Advocate Grand World Tour in 2014,http://www.reuters.com/article/2014/01/06/idUSnMKWB3Wp2a+1e8+MKW20140106,
20140107†10:30AM UTC,American Express Plans Live Audio Webcast of the Fourth Quarter 2013 Earnings Conference Call,http://www.reuters.com/article/2014/01/07/ny-american-express-idUSnBw076241a+100+BSW20140107,
20140107†8:00AM UTC,"Equity Coverage:National Bank of Greece, American Express, Assured Guaranty, and BGC Partners",http://www.reuters.com/article/2014/01/07/bc-aaa-idUSnPn7F7qhn+90+PRN20140107,
20140107†8:00AM UTC,Jack Henry & Associates to Offer American Express¬Æ FX International Payments,http://www.reuters.com/article/2014/01/07/jack-henry-assoc-idUSnPnCGh5hhn+160+PRN20140107,
20140109†3:46PM UTC,American Express Plans Live Audio Webcast of Semi-Annual Financial Community Meeting,http://www.reuters.com/article/2014/01/09/ny-american-express-idUSnBw096210a+100+BSW20140109,
20140116†7:28PM UTC,American Express says exposure to Target breach 'minimal',http://www.reuters.com/article/2014/01/17/us-americanexpress-results-idUSBREA0F1PK20140117,
20140116†7:26PM UTC,UPDATE 2-American Express says exposure to Target breach 'minimal',http://www.reuters.com/article/2014/01/17/americanexpress-results-idUSL3N0KQ4X820140117,
20140116†4:45PM UTC,American Express profit doubles as US holiday shoppers spend more,http://www.reuters.com/article/2014/01/16/us-americanexpress-results-idUSBREA0F1PK20140116,
20140116†4:44PM UTC,UPDATE 1-American Express profit doubles as US holiday shoppers spend more,http://www.reuters.com/article/2014/01/16/americanexpress-results-idUSL3N0KQ4X820140116,
20140116†4:18PM UTC,BRIEF-American Express shares down 2.5 pct in extended trade,http://www.reuters.com/article/2014/01/16/americanexpress-brief-idUSWEN00C5B20140116,
20140116†4:11PM UTC,American Express profit doubles as US holiday shoppers spend more,http://www.reuters.com/article/2014/01/16/americanexpress-results-idUSL3N0KQ4WI20140116,
20140116†4:04PM UTC,American Express Fourth Quarter EPS Rises to $1.21 from $0.56 Last Year; Revenues and Loans Increase as Card Member Spending Ends Year on Strong Note; Credit Indicators Remain at Historical Lows; Operating Expenses Well Cont,http://www.reuters.com/article/2014/01/16/ny-american-express-idUSnBw166438a+100+BSW20140116,
20140117†2:00AM UTC,REG-American Exp.Co American Express Fourth Quarter EPS Rises to $1.21 from $0.56 Last Year; Revenues and Loans Increase as Card Member Spending Ends Year on Strong Note; Credit Indicators Remain at Historical Lows; Operatin,http://www.reuters.com/article/2014/01/17/american-express-idUSnBw166579a+100+BSW20140117,
20140128†1:30PM UTC,"American Express President to Participate in the KBW Cards, Payments & Financial Technology Symposium",http://www.reuters.com/article/2014/01/28/ny-american-express-idUSnBw286349a+100+BSW20140128,
20140128†10:18AM UTC,American Express OPEN Revamps SimplyCash¬Æ Business Credit Card by Giving Small Business Owners the Ability to Customize Their Cash Back Rewards,http://www.reuters.com/article/2014/01/28/ny-american-express-open-idUSnBw286079a+100+BSW20140128,
20140204†1:19PM UTC,American Express and Diane von Furstenberg Announce Year-Long Relationship to Celebrate Forty Years of the Wrap Dress,http://www.reuters.com/article/2014/02/04/ny-american-express-idUSnBw046480a+100+BSW20140204,
20140212†4:37PM UTC,American Express Opens NBA All-Star 2014 with Live Stream Access to Media Day and the First-Ever ‚ÄúOff the Court‚Äù Rookie Roundtable at nba.com/offthecourt,http://www.reuters.com/article/2014/02/12/ny-american-express-idUSnBw126442a+100+BSW20140212,
20140219†10:00AM UTC,"American Express Names Brian Saluzzo, Nik Sathe in Key Technology Roles",http://www.reuters.com/article/2014/02/19/ny-american-express-idUSnBw196141a+100+BSW20140219,
20140303†6:00AM UTC,"American Express Announces New No Annual Fee Credit Card, the Amex EveryDay‚Ñ† Credit Card",http://www.reuters.com/article/2014/03/03/ny-american-express-idUSnBw035527a+100+BSW20140303,
20140304†11:00AM UTC,BrandAds Oscars Ad Effectiveness Study Reveals American Express Aired Most Effective Ad,http://www.reuters.com/article/2014/03/04/brandads-oscars-ads-idUSnPnSFx8dp8+160+PRN20140304,
20140305†1:56PM UTC,Fitch Affirms American Express Issuance Trust II,http://www.reuters.com/article/2014/03/05/ny-fitch-ratings-idUSnBw056420a+100+BSW20140305,
20140306†7:59AM UTC,Court-approved notice program begins to notify all merchants that accept American Express cards of a class action settlement.,http://www.reuters.com/article/2014/03/06/ny-usdistrictcourt-idUSnPnSFxszgB+161+PRN20140306,
20140310†8:32AM UTC,"Breakfast Round-up - 52-Weeks High Reset: American Express, Service Corp. Intl., Lincoln National, and Polycom",http://www.reuters.com/article/2014/03/10/bc-investor-edge-idUSnPnq3qNj0+84+PRN20140310,
20140310†8:00AM UTC,American Express Announces New Initiatives to Support Startups and Research Focused on Improving Financial Inclusion in the U.S.,http://www.reuters.com/article/2014/03/10/ny-american-express-idUSnBw105449a+100+BSW20140310,
20140311†9:30AM UTC,"The Zacks Analyst Blog Highlights: Starbucks, Accenture, Wal-Mart Stores, Google and American Express",http://www.reuters.com/article/2014/03/11/il-zacks-investment-idUSnPnCGyV0kT+169+PRN20140311,
20140313†8:30AM UTC,"Financial Companies Report Dividends, Expansions, Appointments, Financial Results - Analyst Notes on MetLife, MasterCard, American Express, Simon Property Group, and Ocwen Financial",http://www.reuters.com/article/2014/03/13/bc-analystsreviewcom-idUSnPnqgKxhX+89+PRN20140313,
20140506†1:24PM UTC,American Express to Open Fifth Centurion‚Ñ† Lounge in Miami International Airport,http://www.reuters.com/article/2014/05/06/fl-american-express-idUSnBw066770a+100+BSW20140506,
