20140204†7:45AM UTC,Jacobs and Pfizer Provide Sterile Drug Product Manufacturing Technology to Emerging Markets,http://www.reuters.com/article/2014/02/04/ca-jacobs-engineering-idUSnBw045457a+100+BSW20140204,
20140206†1:01PM UTC,Pfizer beats back generic competition for Lyrica,http://www.reuters.com/article/2014/02/06/pfizer-teva-lyrica-idUSL2N0LB18A20140206,
20140210†9:30AM UTC,"The Zacks Analyst Blog Highlights:Walt Disney, Chevron, Wal-Mart Stores, Pfizer and Microsoft",http://www.reuters.com/article/2014/02/10/zacks-equity-research-idUSnPnCGqTvkT+169+PRN20140210,
20140211†2:03PM UTC,Pfizer Statement on Today‚Äôs Joint Meeting of FDA Advisory Committees,http://www.reuters.com/article/2014/02/11/pfizer-idUSnBw116555a+100+BSW20140211,
20140213†3:27AM UTC,Pfizer faces legal action from Australian competition regulator,http://www.reuters.com/article/2014/02/13/us-pfizer-australia-idUSBREA1C0C520140213,
20140213†3:26AM UTC,Pfizer faces legal action from Australian competition regulator,http://www.reuters.com/article/2014/02/13/pfizer-australia-idUSL3N0LI33S20140213,
20140214†9:30AM UTC,Mytrus And Pfizer Win Best Practice Award For Strategic Innovation In Clinical Trials At Summit for Clinical Ops Executives (SCOPE),http://www.reuters.com/article/2014/02/14/ma-inventiv-mytrus-idUSnPnNYsd3kT+161+PRN20140214,
20140218†10:00AM UTC,Pfizer Invites Public to View and Listen to Webcast of Pfizer Presentation at Healthcare Conference,http://www.reuters.com/article/2014/02/18/pfizer-idUSnBw185079a+100+BSW20140218,
20140224†4:10PM UTC,UPDATE 4-Pfizer's Prevnar prevents pneumonia in elderly - study,http://www.reuters.com/article/2014/02/24/pfizer-vaccine-idUSL1N0LT0TR20140224,
20140224†11:45AM UTC,Pfizer's Prevnar prevents pneumonia in elderly - study,http://www.reuters.com/article/2014/02/24/us-pfizer-vaccine-idUSBREA1N10120140224,
20140224†11:45AM UTC,Pfizer Announces FDA Approval to Include Radiographic Data on Reduction of Progression of Structural Joint Damage for Adults with Moderately to Severely Active Rheumatoid Arthritis in Labeling for XELJANZ¬Æ (tofacitinib citr,http://www.reuters.com/article/2014/02/24/pfizer-idUSnBw246438a+100+BSW20140224,
20140224†8:28AM UTC,Pfizer study shows Prevenar prevents pneumonia in people 65 and older,http://www.reuters.com/article/2014/02/24/pfizer-vaccine-idUSL1N0LT0SE20140224,
20140224†7:00AM UTC,Pfizer Announces Positive Top-Line Results Of Landmark Community-Acquired Pneumonia Immunization Trial In Adults (CAPiTA) Evaluating Efficacy Of Prevenar 13*,http://www.reuters.com/article/2014/02/24/pfizer-idUSnBw245899a+100+BSW20140224,
20140305†1:13PM UTC,"Price Movements, Clinical Trial Results, and Solid Financial Reports - Analyst Notes on Pfizer, Dendreon, DepoMed, Globus Medical, and Array",http://www.reuters.com/article/2014/03/05/bc-analysts-review-idUSnPnpHMTtf+9c+PRN20140305,
20140306†6:08PM UTC,Pfizer recalls antidepressant after report of wrong drug in bottle,http://www.reuters.com/article/2014/03/06/pfizer-recall-idUSL1N0M32M120140306,
20140306†5:15PM UTC,Pfizer Initiates Nationwide Voluntary Recall of Two Lots of Pfizer‚Äôs Effexor XR¬Æ 150 Mg Extended-Release Capsules and One Lot of Greenstone‚Äôs Venlafaxine HCl 150 Mg Extended-Release Capsules Due to the Possible Presence,http://www.reuters.com/article/2014/03/06/pfizer-idUSnBw066389a+100+BSW20140306,
20140306†12:16PM UTC,"Morning Briefing - 52-Weeks High Breakers: Wells Fargo, Corning, Delta Air Lines and Pfizer",http://www.reuters.com/article/2014/03/06/bc-ie-idUSnPnpMy2rn+90+PRN20140306,
20140307†11:06AM UTC,"Research and Markets: Global Orphan Drugs Market 2014-2018: Novartis, F. Hoffmann-La Roche, Celgene, Pfizer & Sanofi Dominate the Market",http://www.reuters.com/article/2014/03/07/research-and-markets-idUSnBw075568a+100+BSW20140307,
20140310†11:36AM UTC,"Research and Markets: Global Hemophilia Market Report 2014-2018 with Baxter, Bayer, Novo Nordisk & Pfizer Dominating",http://www.reuters.com/article/2014/03/10/research-and-markets-idUSnBw105915a+100+BSW20140310,
20140312†4:35PM UTC,Pfizer says U.S. court invalidates Celebrex patent; generics loom,http://www.reuters.com/article/2014/03/12/us-pfizer-celebrex-idUSBREA2B1TJ20140312,
20140312†4:32PM UTC,UPDATE 2-Pfizer says U.S. court invalidates Celebrex patent; generics loom,http://www.reuters.com/article/2014/03/12/pfizer-celebrex-idUSL3N0M94AE20140312,
20140312†2:45PM UTC,Pfizer says court invalidates Celebrex patent reissue,http://www.reuters.com/article/2014/03/12/pfizer-celebrex-idUSL3N0M94A720140312,
20140312†2:28PM UTC,Pfizer Will Appeal Court Decision Regarding Celebrex Reissue Patent,http://www.reuters.com/article/2014/03/12/pfizer-idUSnBw126277a+100+BSW20140312,
20140312†11:23AM UTC,Pfizer's Prevnar almost halves elderly pneumonias in study,http://www.reuters.com/article/2014/03/12/pfizer-prevnar-idUSL2N0M915L20140312,
20140312†10:00AM UTC,Pfizer Announces Webcast Of April 6 Conference Call With Securities Analysts To Review Palbociclib Phase 2 Final Results Following Presentation At AACR Annual Meeting 2014,http://www.reuters.com/article/2014/03/12/pfizer-idUSnBw125700a+100+BSW20140312,
20140312†6:37AM UTC,Pfizer Presents Detailed Results From Landmark Community-Acquired Pneumonia Immunization Trial In Adults (CAPiTA) Evaluating Efficacy Of Prevenar 13*,http://www.reuters.com/article/2014/03/12/pfizer-idUSnBw125592a+100+BSW20140312,
20140205†7:00AM UTC,Ichor Enters into an Agreement with Pfizer to Develop Electroporation Devices for Use in Therapeutic Cancer Vaccine Regimens,http://www.reuters.com/article/2014/02/05/ca-ichor-medical-systems-idUSnBw055085a+100+BSW20140205,
20140205†6:45AM UTC,Pfizer And Merck To Collaborate On Innovative Anti-Cancer Combination Studies,http://www.reuters.com/article/2014/02/05/pfizer-idUSnBw055504a+100+BSW20140205,
20140205†6:40AM UTC,"Merck Enters Strategic Collaborations with Amgen, Incyte and Pfizer to Evaluate Novel Combination Anti-cancer Regimens with MK-3475",http://www.reuters.com/article/2014/02/05/nj-merck-idUSnBw055453a+100+BSW20140205,
20140331†4:05PM UTC,"Research and Markets: Global Alzheimer's Drugs Market 2012-2016 with H. Lundbeck A/S, Novartis AG and Pfizer Inc. Dominating",http://www.reuters.com/article/2014/03/31/research-and-markets-idUSnBw316505a+100+BSW20140331,
20140331†9:30AM UTC,"The Zacks Analyst Blog Highlights: Pfizer, Amgen,Sanofi, Alkermes and JPMorgan Chase",http://www.reuters.com/article/2014/03/31/zacks-analyst-blog-idUSnPnbQvzLk+92+PRN20140331,
20140418†1:20PM UTC,Pfizer Invites Public to Listen to Webcast of April 24 Annual Meeting of Shareholders,http://www.reuters.com/article/2014/04/18/pfizer-idUSnBw185255a+100+BSW20140418,
20140506†6:27PM UTC,Britain could intervene in Pfizer bid for AstraZeneca: minister,http://www.reuters.com/article/2014/05/06/us-pfizerastrazeneca-cameron-idUSBREA450FD20140506,
20140506†6:23PM UTC,UPDATE 4-Britain could intervene in Pfizer bid for AstraZeneca -minister,http://www.reuters.com/article/2014/05/06/astrazeneca-pfizer-lawmakers-idUSL6N0NS2SK20140506,
20140506†12:05PM UTC,AstraZeneca fights Pfizer bid by predicting sales surge - eventually,http://www.reuters.com/article/2014/05/06/us-astrazeneca-pfizer-idUSBREA3R0H520140506,
20140506†12:02PM UTC,"UK's CBI says vital"" Pfizer makes long-term UK research promise""",http://www.reuters.com/article/2014/05/06/astrazeneca-pfizer-cbi-idUSL9N0MF00D20140506,
20140506†12:01PM UTC,UPDATE 1-Britain says may use public interest test in Pfizer bid for AstraZeneca,http://www.reuters.com/article/2014/05/06/pfizerastrazeneca-cable-idUSL6N0NS51T20140506,
20140506†11:34AM UTC,UPDATE 3-AstraZeneca fights Pfizer bid by predicting sales surge - eventually,http://www.reuters.com/article/2014/05/06/astrazeneca-pfizer-idUSL6N0NS33720140506,
20140506†11:02AM UTC,Britain says may use public interest test in Pfizer bid for AstraZeneca,http://www.reuters.com/article/2014/05/06/pfizerastrazeneca-cable-idUSS8N0M700Y20140506,
20140506†10:48AM UTC,UK's Osborne says would back Pfizer-AstraZeneca deal if it delivers jobs,http://www.reuters.com/article/2014/05/06/us-pfizer-astrazeneca-osborne-idUSBREA450K220140506,
20140506†10:48AM UTC,Astra CEO says Pfizer bid a threat to new drug pipeline,http://www.reuters.com/article/2014/05/06/us-astrazeneca-pfizer-ceo-idUSBREA450IV20140506,
20140506†10:22AM UTC,British lawmakers raise pressure on Pfizer over AstraZeneca bid,http://www.reuters.com/article/2014/05/06/us-astrazeneca-pfizer-lawmakers-idUSBREA4509V20140506,
20140506†10:14AM UTC,REG-The Vanguard Group Form 8.3 - Pfizer Inc.,http://www.reuters.com/article/2014/05/06/the-vanguard-group-idUSnBw066330a+100+BSW20140506,
20140506†10:03AM UTC,UK's Osborne says would back Pfizer-AstraZeneca deal if it delivers jobs,http://www.reuters.com/article/2014/05/06/pfizer-astrazeneca-osborne-idUSL6N0NS4FD20140506,
20140506†9:48AM UTC,REG-MFS Investment Manag Form 8.3 - Pfizer Inc,http://www.reuters.com/article/2014/05/06/mfs-investment-managemen-idUSnBw066274a+100+BSW20140506,
20140506†9:19AM UTC,Astra CEO says Pfizer bid a threat to new drug pipeline,http://www.reuters.com/article/2014/05/06/astrazeneca-pfizer-ceo-idUSWLB0085020140506,
20140506†8:14AM UTC,REG-Wellington Management Form 8.3 - Pfizer Inc.,http://www.reuters.com/article/2014/05/06/wellington-management-idUSnBw066076a+100+BSW20140506,
20140506†8:07AM UTC,REG-Wellington Management Form 8.3 - Pfizer Inc.,http://www.reuters.com/article/2014/05/06/wellington-management-idUSnBw066058a+100+BSW20140506,
20140506†7:57AM UTC,"Britain says talking to Pfizer, AstraZeneca, but deal is for shareholders",http://www.reuters.com/article/2014/05/06/pfizerastrazeneca-cameron-idUSL6N0NS3JC20140506,
20140506†7:30AM UTC,REG-INVESCO Limited Form 8.3 - Pfizer Inc,http://www.reuters.com/article/2014/05/06/invesco-limited-idUSnBw065988a+100+BSW20140506,
20140506†7:29AM UTC,"Second UK lawmaker panel to call Pfizer, AstraZeneca over bid",http://www.reuters.com/article/2014/05/06/us-astrazeneca-pfizer-britain-idUSKBN0DM0OX20140506,
20140506†7:17AM UTC,"Second UK lawmaker panel to call Pfizer, AstraZeneca over bid",http://www.reuters.com/article/2014/05/06/us-astrazeneca-pfizer-britain-idUSBREA450DN20140506,
20140506†7:15AM UTC,"Second UK lawmaker panel to call Pfizer, AstraZeneca over bid",http://www.reuters.com/article/2014/05/06/astrazeneca-pfizer-britain-idUSL6N0NS3AP20140506,
20140506†6:13AM UTC,"AstraZeneca, fighting off Pfizer, forecasts $45 bln sales by 2023",http://www.reuters.com/article/2014/05/06/astrazeneca-pfizer-idUSFWN0NS00120140506,
20140506†5:29AM UTC,UK lawmakers summon Pfizer and AstraZeneca over takeover deal,http://www.reuters.com/article/2014/05/06/astrazeneca-pfizer-lawmakers-idUSL6N0NS2OF20140506,
20140506†3:12AM UTC,Astra gets lift in Pfizer fight as U.S. okays heart pill,http://www.reuters.com/article/2014/05/06/us-astrazeneca-pfizer-epanova-idUSKBN0DM06Q20140506,
20140506†3:08AM UTC,UPDATE 1-Astra gets lift in Pfizer fight as U.S. okays heart pill,http://www.reuters.com/article/2014/05/06/astrazeneca-pfizer-epanova-idUSL6N0NS1G120140506,
20140506†2:00AM UTC,REG-The Vanguard Group Form 8.3 - Pfizer Inc.,http://www.reuters.com/article/2014/05/06/the-vanguard-group-idUSnBw056138a+100+BSW20140506,
20140506†2:00AM UTC,REG-MFS Investment Manag Form 8.3 - Pfizer Inc,http://www.reuters.com/article/2014/05/06/mfs-investment-managemen-idUSnBw055764a+100+BSW20140506,
20140506†2:00AM UTC,REG-BARCLAYS PLC Form 8.3 Amendment - Pfizer,http://www.reuters.com/article/2014/05/06/barclays-plc-idUSnBw055087a+100+BSW20140506,
20140611†1:19PM UTC,Pfizer says Astra quest failed due to price,http://www.reuters.com/article/2014/06/11/us-pfizer-astra-idUSKBN0EM1ZU20140611,
20140611†1:15PM UTC,Pfizer says Astra quest failed due to price,http://www.reuters.com/article/2014/06/11/pfizer-astra-idUSL2N0OS1CH20140611,
20140611†8:15AM UTC,X-Chem Enters into Multi-Target Collaboration with Pfizer Inc.,http://www.reuters.com/article/2014/06/11/ma-x-chem-idUSnBw115657a+100+BSW20140611,
20140611†8:00AM UTC,Pfizer Announces Over 10 Abstracts for XELJANZ¬Æ (Tofacitinib Citrate) in Rheumatoid Arthritis to be Presented at the European League Against Rheumatism (EULAR) 2014 Annual Meeting,http://www.reuters.com/article/2014/06/11/pfizer-idUSnBw115667a+100+BSW20140611,
20140717†2:06PM UTC,"Research and Markets: Global Endometriosis Market 2014-2018 with Abbvie Inc., AstraZeneca plc, Bayer AG & Pfizer Inc. Dominating",http://www.reuters.com/article/2014/07/17/research-and-markets-idUSnBw176202a+100+BSW20140717,
20140717†8:06AM UTC,Bristol-Myers Squibb and Pfizer Announce Enrollment of First Patient in Phase IV EMANATE Trial to Assess Effectiveness and Safety of Eliquis¬Æ (apixaban) in Patients with NVAF Undergoing Cardioversion,http://www.reuters.com/article/2014/07/17/nj-bristol-myers-pfizer-idUSnBw175643a+100+BSW20140717,
20140822†9:19AM UTC,Pfizer back for AstraZeneca? Year-end move seen most likely,http://www.reuters.com/article/2014/08/21/us-astrazeneca-pfizer-idUSKBN0GL1AH20140821,
20140909†4:15AM UTC,"Sosei Group Announces Positive Results for Ultibro¬Æ and Seebri¬Æ Presented at ERS 2014, and Promotion Agreement with Pfizer in the UK<4565.T>",http://www.reuters.com/article/2014/09/08/sosei-group-idUSnBw085375a+100+BSW20140908,
20140927†3:30PM UTC,Fitch Affirms Pfizer's IDR at 'A+'; Outlook Stable,http://www.reuters.com/article/2014/09/26/ny-fitch-ratings-health-idUSnBw265472a+100+BSW20140926,
20140927†3:08PM UTC,Fitch Affirms Pfizer's IDR at 'A+'; Outlook Stable,http://www.reuters.com/article/2014/09/26/fitch-affirms-pfizers-idr-at-a-outlook-s-idUSFit76916020140926,
20141015†12:15PM UTC,FDA staff recommend Pfizer keep black box warning on anti-smoking drug,http://www.reuters.com/article/2014/10/14/us-pfizer-fda-chantix-idUSKCN0I321D20141014,
20141015†12:08PM UTC,UPDATE 1-FDA staff recommend Pfizer keep black box warning on anti-smoking drug,http://www.reuters.com/article/2014/10/14/pfizer-fda-chantix-idUSL3N0S94X920141014,
20141015†9:10AM UTC,FDA staff wants Pfizer to keep black box warning on anti-smoking drug,http://www.reuters.com/article/2014/10/14/pfizer-fda-chantix-idUSL3N0S94NC20141014,
